>Contig321	locus321
>Contig322	locus322
>Contig323	locus323
>Contig324	locus324
>Contig325	locus325
>Contig326	locus326
>Contig327	locus327
>Contig328	locus328
>Contig329	locus329
>Contig330	locus330
>Contig331	locus331
>Contig332	locus332
>Contig333	locus333
>Contig334	locus334
>Contig335	locus335
>Contig336	locus336
>Contig337	locus337
>Contig338	locus338
>Contig339	locus339
>Contig340	locus340
>Contig341	locus341
>Contig342	locus342
>Contig343	locus343
>Contig344	locus344
>Contig345	locus345
>Contig346	locus346
>Contig347	locus347
>Contig348	locus348
>Contig349	locus349
>Contig350	locus350
>Contig351	locus351
>Contig352	locus352
>Contig353	locus353
>Contig354	locus354
>Contig355	locus355
>Contig356	locus356
>Contig357	locus357
>Contig358	locus358
>Contig359	locus359
>Contig360	locus360
>Contig361	locus361
>Contig362	locus362
>Contig363	locus363
>Contig364	locus364
>Contig365	locus365
>Contig366	locus366
>Contig367	locus367
>Contig368	locus368
>Contig369	locus369
>Contig370	locus370
>Contig371	locus371
>Contig372	locus372
>Contig373	locus373
>Contig374	locus374
>Contig375	locus375
>Contig376	locus376
>Contig377	locus377
>Contig378	locus378
>Contig379	locus379
>Contig380	locus380
>Contig381	locus381
>Contig382	locus382
>Contig383	locus383
>Contig384	locus384
>Contig385	locus385
>Contig386	locus386
>Contig387	locus387
>Contig388	locus388
>Contig389	locus389
>Contig390	locus390
>Contig391	locus391
>Contig392	locus392
>Contig393	locus393
>Contig394	locus394
>Contig395	locus395
>Contig396	locus396
>Contig397	locus397
>Contig398	locus398
>Contig399	locus399
>Contig400	locus400
>Contig401	locus401
>Contig402	locus402
>Contig403	locus403
>Contig404	locus404
>Contig405	locus405
>Contig406	locus406
>Contig407	locus407
>Contig408	locus408
>Contig409	locus409
>Contig410	locus410
>Contig411	locus411
>Contig412	locus412
>Contig413	locus413
>Contig414	locus414
>Contig415	locus415
>Contig416	locus416
>Contig417	locus417
>Contig418	locus418
>Contig419	locus419
>Contig420	locus420
>Contig421	locus421
>Contig422	locus422
>Contig423	locus423
>Contig424	locus424
>Contig425	locus425
>Contig426	locus426
>Contig427	locus427
>Contig428	locus428
>Contig429	locus429
>Contig430	locus430
>Contig431	locus431
>Contig432	locus432
>Contig433	locus433
>Contig434	locus434
>Contig435	locus435
>Contig436	locus436
>Contig437	locus437
>Contig438	locus438
>Contig439	locus439
>Contig440	locus440
>Contig441	locus441
>Contig442	locus442
>Contig443	locus443
>Contig444	locus444
>Contig445	locus445
>Contig446	locus446
>Contig447	locus447
>Contig448	locus448
>Contig449	locus449
>Contig450	locus450
>Contig451	locus451
>Contig452	locus452
>Contig453	locus453
>Contig454	locus454
>Contig455	locus455
>Contig456	locus456
>Contig457	locus457
>Contig458	locus458
>Contig459	locus459
>Contig460	locus460
>Contig461	locus461
>Contig462	locus462
>Contig463	locus463
>Contig464	locus464
>Contig465	locus465
>Contig466	locus466
>Contig467	locus467
>Contig468	locus468
>Contig469	locus469
>Contig470	locus470
>Contig471	locus471
>Contig472	locus472
>Contig473	locus473
>Contig474	locus474
>Contig475	locus475
>Contig476	locus476
>Contig477	locus477
>Contig478	locus478
>Contig479	locus479
>Contig480	locus480
>Contig481	locus481
>Contig482	locus482
>Contig483	locus483
>Contig484	locus484
>Contig485	locus485
>Contig486	locus486
>Contig487	locus487
>Contig488	locus488
>Contig489	locus489
>Contig490	locus490
>Contig491	locus491
>Contig492	locus492
>Contig493	locus493
>Contig494	locus494
>Contig495	locus495
>Contig496	locus496
>Contig497	locus497
>Contig498	locus498
>Contig499	locus499
>Contig500	locus500
>Contig501	locus501
>Contig502	locus502
>Contig503	locus503
>Contig504	locus504
>Contig505	locus505
>Contig506	locus506
>Contig507	locus507
>Contig508	locus508
>Contig509	locus509
>Contig510	locus510
>Contig511	locus511
>Contig512	locus512
>Contig513	locus513
>Contig514	locus514
>Contig515	locus515
>Contig516	locus516
>Contig517	locus517
>Contig518	locus518
>Contig519	locus519
>Contig520	locus520
>Contig521	locus521
>Contig522	locus522
>Contig523	locus523
>Contig524	locus524
>Contig525	locus525
>Contig526	locus526
>Contig527	locus527
>Contig528	locus528
>Contig529	locus529
>Contig530	locus530
>Contig531	locus531
>Contig532	locus532
>Contig533	locus533
>Contig534	locus534
>Contig535	locus535
>Contig536	locus536
>Contig537	locus537
>Contig538	locus538
>Contig539	locus539
>Contig540	locus540
>Contig541	locus541
>Contig542	locus542
>Contig543	locus543
>Contig544	locus544
>Contig545	locus545
>Contig546	locus546
>Contig547	locus547
>Contig548	locus548
>Contig549	locus549
>Contig550	locus550
>Contig551	locus551
>Contig552	locus552
>Contig553	locus553
>Contig554	locus554
>Contig555	locus555
>Contig556	locus556
>Contig557	locus557
>Contig558	locus558
>Contig559	locus559
>Contig560	locus560
>Contig561	locus561
>Contig562	locus562
>Contig563	locus563
>Contig564	locus564
>Contig565	locus565
>Contig566	locus566
>Contig567	locus567
>Contig568	locus568
>Contig569	locus569
>Contig570	locus570
>Contig571	locus571
>Contig572	locus572
>Contig573	locus573
>Contig574	locus574
>Contig575	locus575
>Contig576	locus576
>Contig577	locus577
>Contig578	locus578
>Contig579	locus579
